508.0	283.5	265.8	146.1	196.6	177.4	117.9	178.3	327.8	100.5	81.15	 3573	9999.9	 1211	51.34	44.57	38.43	37.73	30.78	30.31	29.75	30.31	25.51	25.38	24.94	25.71	24.33	23.88	20.61	21.81	21.61	22.17	20.55	19.91	19.16	18.77	17.70	16.57	16.29	19.15	18.88	16.38	13.91	12.34	12.15	10.78	10.82	18.66	23.73	14.00	7.388	6.961
510.0	304.9	268.3	241.1	187.6	188.4	100.8	152.8	294.7	116.1	86.11	 1713	9999.9	 3128	58.37	45.67	41.51	36.20	35.46	33.28	28.48	28.07	26.12	25.85	24.53	24.37	23.50	21.89	22.00	20.72	20.73	20.21	19.48	21.42	17.66	17.92	17.55	17.25	16.30	17.43	18.93	17.34	14.30	12.49	11.59	10.94	10.42	14.85	24.67	15.83	7.972	6.252
512.0	341.4	259.5	237.3	211.8	156.9	106.2	124.9	267.1	140.8	81.37	622.1	9999.9	 6292	56.81	46.26	40.81	35.42	33.17	31.78	28.97	29.84	26.84	25.57	25.70	23.63	24.06	22.48	20.37	20.86	21.28	20.40	19.32	19.29	18.44	17.92	18.28	17.46	15.81	16.36	17.25	18.34	15.53	13.80	12.38	11.36	11.19	12.15	23.03	19.07	10.30	5.792
514.0	347.1	266.5	192.6	215.7	162.5	109.6	107.1	249.3	200.7	82.52	184.4	 9993	9999.9	123.4	52.51	39.99	36.47	34.09	31.91	29.25	26.41	25.90	24.73	23.57	22.43	22.64	21.80	20.05	22.51	21.23	20.47	19.61	18.33	17.31	17.35	17.07	17.12	15.77	15.59	16.16	17.88	16.34	12.72	11.65	10.71	10.02	10.74	19.08	22.11	11.96	6.120
516.0	478.1	357.8	174.2	167.5	121.0	123.5	123.0	227.4	239.0	76.56	103.3	 6837	9999.9	428.8	55.09	41.56	33.63	32.32	34.32	31.84	27.92	22.70	23.62	24.41	22.42	22.92	21.14	20.64	20.23	19.63	18.93	18.67	18.44	18.38	16.83	15.81	15.71	14.92	16.51	15.33	17.11	17.21	14.42	12.13	11.75	10.49	10.11	15.73	22.55	14.48	7.077
518.0	498.9	309.4	109.7	194.1	143.3	125.7	111.4	195.4	243.3	83.90	89.71	 3930	9999.9	 1344	50.65	42.34	39.00	33.21	31.75	27.98	29.96	24.75	23.67	22.68	21.66	20.84	20.73	18.95	18.63	19.27	18.14	17.39	17.76	17.12	16.57	15.38	15.69	15.22	15.49	14.37	15.98	17.17	14.71	13.01	11.76	10.61	10.58	12.41	22.26	17.57	8.176
520.0	559.4	303.3	223.4	200.2	127.6	127.5	112.6	161.3	287.7	93.47	72.37	 1826	9999.9	 3464	49.87	42.03	36.64	35.59	29.38	28.83	29.43	23.54	23.38	23.60	23.59	22.93	19.58	20.23	19.81	18.58	18.11	17.88	17.83	15.68	16.06	14.28	15.28	15.50	13.79	14.16	14.19	15.64	14.88	12.96	11.87	10.06	10.81	10.81	19.20	20.15	9.871
522.0	328.0	264.0	238.0	156.6	217.2	133.8	97.37	142.4	295.3	116.8	70.41	630.5	9999.9	 7116	57.72	40.10	36.81	33.89	28.75	28.88	24.33	26.80	23.68	21.02	22.65	20.25	19.56	20.72	19.66	16.53	18.71	18.67	17.97	16.24	16.89	14.01	14.13	14.84	14.77	13.67	14.29	18.26	15.84	13.45	11.58	10.47	10.37	10.74	16.07	20.96	12.53
524.0	296.6	277.3	208.0	193.0	152.1	106.8	93.13	121.2	283.5	129.9	57.57	202.3	9999.9	9999.9	115.1	42.82	41.01	31.60	30.39	28.35	25.13	24.80	24.56	22.31	20.59	20.87	19.76	19.29	18.48	19.08	16.63	16.71	16.06	16.91	16.16	15.28	14.37	14.06	14.48	13.67	13.59	15.30	16.89	14.58	11.07	10.52	10.06	9.014	13.72	22.47	15.31
526.0	415.5	246.5	225.0	136.5	151.2	109.4	109.9	94.43	233.2	176.2	65.41	83.98	 7898	9999.9	407.3	41.33	41.10	33.87	30.78	26.34	27.08	26.11	22.96	22.03	21.85	20.13	19.19	18.90	17.94	18.81	18.28	16.40	15.51	16.29	14.39	14.95	14.80	14.38	13.61	12.99	13.82	13.22	17.00	16.00	13.30	11.45	10.32	9.684	11.52	19.63	17.24
528.0	437.8	229.5	230.2	145.9	155.9	128.5	94.96	85.80	198.6	215.3	72.49	75.49	 4663	9999.9	 1273	50.01	38.82	32.61	30.64	27.62	26.60	23.35	24.31	23.17	21.87	20.30	19.79	18.03	18.04	17.05	17.40	17.39	16.68	15.91	14.25	14.61	14.21	13.98	13.94	13.70	12.35	12.51	14.39	15.64	13.71	12.21	10.10	9.917	10.45	17.22	19.79
530.0	469.0	338.3	220.2	191.4	170.2	128.8	70.12	87.76	161.3	243.9	77.59	71.66	 2189	9999.9	 3398	48.63	33.28	29.68	32.82	27.78	26.07	24.42	23.80	23.29	22.26	19.53	19.31	18.46	17.09	16.19	16.47	17.03	15.77	15.42	14.91	14.92	14.90	14.84	13.44	12.87	11.74	12.85	12.60	15.16	14.52	11.52	10.97	8.964	9.638	14.83	19.48
532.0	421.7	328.1	340.7	189.5	170.0	117.1	78.82	82.17	124.0	249.3	84.67	62.04	751.1	9999.9	 7153	54.08	38.06	35.55	30.21	28.93	27.42	25.77	23.53	22.11	22.01	19.68	19.36	17.42	16.69	17.06	17.07	16.50	14.45	14.78	15.61	12.81	13.69	12.89	12.95	12.28	12.48	12.32	13.09	14.12	14.98	12.50	11.41	9.812	9.053	11.91	19.36
534.0	334.4	352.3	190.0	157.5	135.2	116.8	83.69	75.79	94.74	261.6	111.0	63.53	218.4	9999.9	9999.9	134.2	37.33	35.19	31.07	28.22	25.66	23.81	23.34	21.65	21.65	18.32	17.92	17.75	16.87	16.57	15.62	16.91	15.95	13.23	14.02	14.37	13.40	12.71	12.09	12.94	11.62	12.10	10.87	12.22	15.42	13.53	11.32	10.01	9.653	10.14	17.20
536.0	440.5	294.9	309.8	151.4	136.8	118.9	76.92	88.19	75.07	251.1	137.3	66.02	87.39	 8242	9999.9	484.4	40.38	33.67	30.06	27.63	24.75	23.10	20.55	22.81	20.77	20.52	18.39	17.67	18.34	17.46	14.67	14.19	15.35	14.60	14.40	13.88	12.00	12.13	12.41	11.86	11.37	11.61	12.10	11.58	14.25	14.80	12.13	10.76	9.960	10.16	14.01
538.0	576.9	201.2	267.3	178.0	168.0	90.61	84.16	77.28	76.89	241.9	168.1	60.19	63.17	 4687	9999.9	 1491	39.99	33.65	32.99	27.30	24.52	24.41	22.66	19.53	22.34	19.13	17.29	16.72	17.59	15.20	15.26	15.59	13.94	14.49	14.92	13.16	12.29	12.94	11.99	9.951	11.30	11.69	11.57	10.99	11.97	14.85	12.41	11.09	10.50	8.981	12.12
540.0	345.1	244.7	255.1	217.2	151.0	135.9	71.95	85.81	80.15	211.9	196.8	59.64	61.37	 2050	9999.9	 3843	43.30	36.37	28.54	25.64	24.73	23.82	21.14	21.12	20.11	18.37	18.10	16.97	17.49	14.59	15.44	15.00	14.66	13.22	12.77	12.31	12.34	12.52	10.99	11.11	10.93	11.32	11.45	11.48	10.55	14.65	12.75	11.28	10.54	8.359	10.49
542.0	409.4	307.5	289.6	228.2	157.2	110.8	68.61	82.41	80.31	176.1	239.3	65.64	57.14	675.0	9999.9	 8021	51.66	35.61	30.51	25.38	25.25	22.30	21.64	19.22	20.48	18.32	18.11	15.81	16.10	15.82	14.94	14.21	14.03	13.47	12.92	12.69	12.26	11.54	10.54	10.74	11.18	10.47	11.18	11.77	11.00	12.30	14.76	12.46	10.59	9.492	8.387
544.0	422.1	291.8	273.9	252.3	168.2	127.4	95.96	77.78	73.22	138.0	270.3	74.48	59.88	183.6	9999.9	9999.9	125.7	37.04	31.60	24.58	25.15	22.12	22.75	19.92	19.19	18.93	17.67	15.54	16.48	16.86	13.23	14.85	14.05	13.18	13.04	12.10	11.81	11.72	10.93	11.72	10.85	10.28	10.55	11.11	10.98	12.42	15.97	13.45	11.35	9.318	8.577
546.0	492.9	344.1	234.2	197.4	177.8	94.13	81.62	85.54	74.25	101.9	270.7	89.53	50.73	75.87	 9123	9999.9	449.5	36.52	31.24	28.38	24.56	22.62	21.26	17.98	19.16	20.93	17.82	15.09	16.15	15.43	13.68	14.88	12.81	12.33	12.25	12.66	12.42	10.55	10.65	12.18	10.86	9.189	10.84	11.32	11.37	11.14	14.29	14.60	11.55	10.01	8.939
548.0	516.9	293.6	268.8	149.7	164.3	105.1	92.60	65.11	55.49	84.97	238.3	120.4	51.42	59.69	 5053	9999.9	 1456	36.34	31.35	28.46	23.94	25.22	19.85	18.98	18.74	19.55	17.51	15.18	18.21	14.63	13.95	13.05	12.90	13.39	11.72	12.09	13.12	11.31	10.02	10.68	10.91	10.77	10.44	9.848	9.191	10.13	12.36	15.55	11.30	9.045	8.308
550.0	400.6	277.4	266.4	148.6	182.5	91.01	91.84	74.30	54.56	64.38	225.6	168.4	50.95	55.77	 2111	9999.9	 3938	42.26	32.50	31.18	23.76	22.74	21.68	20.30	18.05	17.23	17.47	15.97	15.94	15.82	16.65	14.02	12.83	12.76	12.48	11.39	10.75	11.29	9.570	9.892	10.80	10.72	9.309	9.552	9.800	10.56	10.68	15.95	13.20	10.23	8.676
552.0	440.7	256.8	300.8	256.1	149.3	136.6	94.14	82.07	58.79	77.12	198.2	193.6	61.39	49.85	676.6	9999.9	 8509	53.68	33.87	28.22	25.12	21.88	21.18	17.81	17.76	16.48	18.19	16.68	15.47	15.56	14.55	13.20	12.59	13.40	11.62	12.28	11.71	10.77	9.099	10.70	10.84	9.998	10.20	9.554	10.88	10.78	10.06	12.70	14.50	11.84	8.806
554.0	359.7	351.2	260.2	173.1	152.1	126.8	87.75	80.11	54.34	53.55	146.8	223.5	63.00	50.94	189.2	9999.9	9999.9	131.4	38.97	33.04	23.04	21.98	21.03	19.40	18.02	16.29	18.32	15.97	14.16	14.98	13.64	13.07	13.14	12.63	11.30	11.38	10.80	10.48	10.85	11.24	10.10	8.776	8.589	9.316	10.69	9.541	9.897	11.54	14.82	12.58	9.522
556.0	293.6	286.4	225.5	173.9	173.3	131.2	99.61	78.84	58.19	54.98	133.5	280.2	77.68	46.05	78.22	 9517	9999.9	502.2	36.21	32.13	28.72	24.45	21.30	19.64	17.06	18.76	17.55	18.21	13.95	14.64	14.29	13.42	12.28	12.23	10.99	12.17	10.33	9.638	9.263	9.803	8.890	8.348	9.292	9.742	9.688	9.319	10.35	10.54	13.22	14.37	10.42
558.0	662.9	246.4	240.8	275.7	131.2	106.6	106.9	91.75	51.48	47.40	99.25	259.3	96.75	46.14	60.96	 5085	9999.9	 1586	42.09	30.54	24.57	22.33	18.49	19.46	19.79	16.48	16.74	15.16	18.17	15.06	13.37	13.27	12.82	11.46	12.63	12.44	10.85	11.03	10.00	9.885	9.715	9.568	9.860	9.024	8.884	9.632	9.590	9.513	12.86	14.88	11.39
560.0	447.0	256.9	223.2	291.0	175.9	100.7	116.3	65.48	58.26	58.90	66.20	269.6	114.9	49.31	53.77	 2036	9999.9	 4157	42.17	32.39	27.29	21.94	20.25	18.99	17.88	16.29	17.41	15.34	16.40	15.41	13.73	13.38	12.62	11.70	12.48	9.824	10.69	9.867	9.856	9.116	9.444	10.47	9.783	9.340	10.03	9.518	10.55	10.57	9.957	14.72	12.84
562.0	545.1	262.1	250.4	276.2	182.4	159.5	111.1	92.69	79.44	59.01	58.46	246.1	152.5	49.87	51.05	649.0	9999.9	 9117	51.52	35.05	30.61	24.94	20.98	17.95	19.09	15.51	15.89	15.92	17.35	14.97	14.71	14.45	14.68	11.87	12.67	10.66	10.87	10.98	8.839	8.822	8.858	9.683	8.544	9.282	9.479	9.889	9.105	10.26	9.577	13.12	14.54
564.0	533.9	349.5	223.7	163.3	188.0	154.7	112.6	93.21	69.42	54.58	60.63	211.8	212.2	51.55	50.52	176.3	9999.9	9999.9	141.6	38.75	29.80	24.59	19.82	19.43	17.08	16.11	16.27	15.66	16.40	15.48	16.33	15.09	13.91	12.07	10.98	9.945	10.73	9.856	7.338	8.902	8.119	8.796	8.290	9.631	8.862	9.116	9.451	10.39	11.17	10.86	15.55
566.0	387.1	473.3	221.2	220.4	164.2	122.1	109.7	70.99	49.27	57.59	58.20	167.3	246.8	56.76	45.16	77.83	9999.9	9999.9	507.0	37.15	29.91	28.34	21.10	18.19	17.54	14.94	16.45	16.86	14.28	16.16	15.03	14.67	13.50	12.43	10.04	11.49	10.90	9.531	8.607	8.080	9.180	8.487	8.427	8.754	9.448	9.442	10.04	10.01	11.07	11.60	13.73
568.0	343.4	363.4	284.7	245.4	173.0	138.5	125.7	69.79	59.77	55.80	56.59	117.4	305.2	70.04	42.69	59.05	 6059	9999.9	 1664	43.05	30.44	30.29	22.58	16.92	18.65	15.88	15.36	14.98	15.76	15.00	14.13	16.73	13.56	13.26	11.09	10.80	10.08	9.340	8.308	9.677	8.322	8.571	8.194	9.370	9.362	8.498	10.37	10.31	10.43	10.48	12.26
570.0	368.8	501.5	276.2	249.0	215.3	136.4	111.6	75.12	58.35	57.62	55.00	94.09	300.3	91.56	44.89	52.83	 2433	9999.9	 4535	44.49	30.98	27.98	24.08	18.46	21.94	15.60	14.31	14.36	14.25	15.63	12.99	14.39	14.11	11.61	11.30	10.96	11.46	9.049	8.694	9.107	8.759	9.293	10.03	9.156	8.315	7.951	8.580	9.953	10.40	9.714	10.55
572.0	587.5	462.0	240.4	257.6	193.4	146.2	129.6	78.98	62.20	59.12	43.06	65.73	330.6	130.9	46.90	44.93	759.5	9999.9	9999.9	65.26	36.28	30.58	23.48	22.51	22.49	17.49	17.20	14.98	17.35	15.46	14.99	16.13	13.75	13.02	11.74	10.42	11.00	9.454	10.80	8.464	9.241	9.455	8.729	8.725	8.720	7.622	9.722	10.09	9.167	9.401	12.61
574.0	900.7	394.6	344.2	250.7	137.3	142.1	111.7	73.98	67.01	73.27	58.19	68.58	284.9	173.0	47.71	45.48	204.2	9999.9	9999.9	183.1	34.87	31.18	25.88	22.31	19.04	18.60	16.03	15.97	16.08	14.41	15.94	16.20	13.42	14.71	12.27	9.314	9.857	9.542	9.084	8.630	9.464	8.843	7.877	8.318	8.940	9.611	7.696	9.041	10.84	10.63	9.985
576.0	582.2	397.6	230.0	342.8	199.3	121.2	123.4	78.51	61.10	55.43	48.19	61.98	231.5	236.2	57.68	51.00	85.30	9999.9	9999.9	697.4	34.99	31.93	26.36	20.40	19.68	17.20	17.39	15.68	14.58	15.39	14.49	16.55	15.47	13.10	12.47	12.42	9.711	10.42	8.800	8.748	8.896	8.922	8.099	9.455	9.108	10.06	9.690	8.753	10.14	10.14	9.809
578.0	727.4	253.1	443.1	342.3	168.3	117.1	107.2	75.50	63.66	62.55	53.79	45.76	195.7	268.7	57.40	49.03	66.87	 6822	9999.9	 2155	40.19	33.84	25.10	24.82	19.08	21.01	17.62	16.12	15.11	14.56	13.07	17.73	15.07	14.91	11.97	11.67	10.26	8.978	9.618	8.435	9.201	9.194	8.732	8.054	8.363	9.442	8.835	10.24	10.61	10.12	10.54
580.0	983.6	301.3	356.2	247.0	287.4	222.5	99.60	100.5	73.45	53.07	59.47	52.91	146.8	293.6	70.69	42.64	55.67	 2798	9999.9	 5636	44.13	33.27	33.60	25.14	20.76	17.62	17.53	14.77	17.00	14.67	15.41	15.26	17.63	14.65	13.39	11.22	10.33	8.582	11.06	7.517	8.235	8.820	7.990	9.238	8.816	9.719	8.894	8.003	10.28	10.23	10.91
582.0	911.4	516.0	263.9	276.1	323.9	163.4	141.7	107.2	79.03	67.49	61.27	39.08	107.5	318.6	87.43	52.91	53.20	834.1	9999.9	9999.9	58.43	36.33	32.31	23.22	22.51	19.28	19.08	16.25	17.42	17.34	17.05	14.09	16.40	15.01	13.56	11.53	10.46	9.358	9.645	8.271	9.163	7.863	8.652	7.544	8.755	8.465	10.34	9.492	9.394	9.825	10.82
584.0	442.0	287.2	191.9	321.8	240.9	190.1	101.2	93.23	63.25	57.32	45.16	51.62	69.35	342.6	139.4	45.19	55.03	227.0	9999.9	9999.9	162.2	39.43	30.72	23.07	22.28	20.33	16.00	17.68	15.55	16.70	15.31	14.75	14.93	14.35	14.27	13.73	11.47	10.65	9.939	8.919	8.560	8.477	8.101	9.587	8.529	10.17	9.970	8.835	8.328	9.996	9.972
586.0	727.7	592.5	406.6	322.1	253.5	163.2	98.99	120.0	84.06	64.53	52.96	41.94	60.83	327.5	198.2	45.22	47.96	82.19	9999.9	9999.9	595.3	40.70	29.95	27.93	27.31	16.49	16.80	18.81	17.36	14.96	15.08	12.78	15.19	15.36	15.11	15.53	10.69	9.821	10.90	10.79	6.079	9.014	9.214	7.969	8.203	9.237	9.807	9.427	9.653	11.54	11.69
588.0	870.8	461.7	528.0	457.8	255.3	184.5	140.7	99.01	70.10	56.18	55.31	44.95	58.73	262.8	237.7	53.81	46.82	63.63	 7632	9999.9	 1819	44.67	33.51	27.92	27.70	19.60	21.43	18.97	15.79	16.22	16.12	14.88	16.70	15.60	16.18	11.24	12.79	10.86	12.20	9.389	7.370	8.945	8.717	7.977	7.078	8.623	8.287	11.04	9.057	8.656	11.20
590.0	935.6	599.2	608.7	230.8	351.1	138.4	123.5	80.33	110.4	87.80	72.11	38.07	48.23	190.8	303.4	63.79	54.71	60.86	 3121	9999.9	 4967	52.63	35.38	29.67	26.21	19.89	22.96	20.00	14.72	15.47	16.80	15.11	17.31	15.55	15.27	13.81	12.44	11.22	10.17	9.758	7.482	8.008	7.985	9.169	9.432	7.612	8.495	9.582	9.265	9.673	10.02
592.0	 1401	496.5	480.1	390.4	344.5	142.6	154.5	93.81	110.4	67.83	58.17	47.85	50.12	152.6	351.5	70.27	50.21	58.08	941.6	9999.9	9999.9	67.99	36.44	31.45	26.85	22.46	20.94	19.95	21.25	14.89	16.46	14.41	15.99	15.69	15.18	13.09	15.35	12.20	10.71	9.414	9.095	9.299	7.733	7.665	8.429	8.125	9.310	9.219	10.47	9.912	10.34
594.0	 1067	560.9	555.5	463.6	209.6	252.8	155.0	114.2	122.3	84.12	43.26	46.24	53.09	102.7	364.5	102.0	58.94	53.47	255.4	9999.9	9999.9	170.7	37.96	29.70	29.15	24.37	19.55	20.13	19.99	15.81	14.65	15.58	14.90	16.24	15.08	15.38	14.73	12.97	10.68	10.85	10.16	8.143	9.505	6.831	7.432	7.835	8.877	9.430	9.742	8.970	9.859
596.0	 1752	399.9	455.2	434.8	322.1	201.9	155.5	111.2	99.22	86.57	61.01	49.54	51.25	65.44	364.9	132.6	55.52	55.39	99.99	9999.9	9999.9	620.5	43.33	37.70	28.23	25.15	23.03	20.63	15.86	14.88	13.39	15.34	16.08	16.03	15.48	16.69	15.24	12.29	12.91	11.44	10.12	9.825	8.462	9.063	8.230	7.868	9.256	8.701	9.974	9.642	10.14
598.0	 2838	271.4	385.4	433.5	222.0	192.0	147.1	150.6	88.36	87.41	65.22	60.34	52.03	61.02	345.4	206.3	63.49	59.88	72.54	 7977	9999.9	 1946	50.53	38.91	30.36	24.18	22.86	22.15	21.17	18.72	15.69	16.39	14.67	15.11	15.45	15.16	18.27	15.13	12.48	11.27	10.92	9.635	7.102	8.951	8.274	8.971	7.394	8.951	9.241	8.686	10.18
600.0	 2426	619.6	543.7	372.2	161.4	231.1	131.5	110.8	82.39	77.12	71.44	45.47	52.77	64.05	284.1	249.3	69.25	55.70	62.93	 4461	9999.9	 3677	51.91	39.95	31.03	28.55	25.32	18.78	21.44	17.32	17.04	15.15	16.18	18.09	14.32	17.64	14.63	15.00	13.08	11.90	12.72	10.17	7.831	8.219	8.297	9.339	9.213	8.061	7.741	9.462	9.342
